Payment(id=46d9fe6d-6843-4f60-9bc7-28edd325626b, value=PLN 1000.00, properties={}, timestamp=2021-06-07T14:16:16.842684Z, status=STARTED)
Payment(id=7140bb78-c316-4bbf-8e6a-c0ddef977196, value=PLN 1000.00, properties={}, timestamp=2021-06-07T14:46:36.278429Z, status=STARTED)
Payment(id=4451f08a-7b18-403c-ac5a-16ba0cc29541, value=PLN 1000.00, properties={}, timestamp=2021-06-07T15:07:35.201969Z, status=STARTED)
Payment(id=3e05d6c3-3e9d-447b-8e01-e1a66c154479, value=PLN 1000.00, properties={}, timestamp=2021-06-07T16:12:22.891084Z, status=STARTED)
Payment(id=c503ffc5-2d10-4068-bc05-eeed4c4a53df, value=PLN 1000.00, properties={}, timestamp=2021-06-07T16:27:35.159201Z, status=STARTED)
Payment(id=692d3902-7ac7-4b19-9f8c-5b8dd122e4b3, value=PLN 1000.00, properties={key=value}, timestamp=2021-06-07T16:27:57.404600Z, status=STARTED)
Payment(id=509108f3-5bf6-4e0d-856d-e7c3778da77b, value=PLN 1000.00, properties={key=value}, timestamp=2021-06-07T16:29:40.148349Z, status=STARTED)
Payment(id=1d698a2f-6fc5-4bc9-8776-fa3a32bee319, value=PLN 1000.00, properties={key=value}, timestamp=2021-06-07T16:30:48.911613Z, status=STARTED)
Payment(id=4e7aa3dd-3807-4031-aca5-b3e553dd6dbb, value=PLN 1000.00, properties={key=value}, timestamp=2021-06-07T16:32:02.885011Z, status=STARTED)
Payment(id=7bb10962-8ab5-4550-87a8-7900157ade1b, value=PLN 1000.00, properties={key=value}, timestamp=2021-06-07T16:32:02.951811Z, status=STARTED)
Payment(id=64fc3dc6-9497-4414-8f17-4557fad79f48, value=PLN 1000.00, properties={key=value}, timestamp=2021-06-07T16:33:58.395788Z, status=STARTED)
Payment(id=0a06427b-b3be-4164-90d7-bf00cf64a412, value=PLN 1000.00, properties={}, timestamp=2021-06-07T17:35:06.674509600Z, status=STARTED)
Payment(id=852530e4-924f-4d8b-ac8e-895105f68b91, value=PLN 1000.00, properties={}, timestamp=2021-06-08T04:26:19.722918Z, status=STARTED)
Payment(id=f1df8f34-0360-4fdb-b9b5-9cebbac61f8a, value=PLN 1000.00, properties={}, timestamp=2021-06-08T07:34:20.881702800Z, status=STARTED)
Payment(id=a8a02b05-3c53-4740-8d89-b90b6fcace55, value=PLN 1000.00, properties={}, timestamp=2021-06-08T07:35:06.907198400Z, status=STARTED)
Payment(id=8d2a4c74-c2b8-4379-a466-6ac8e7965eff, value=PLN 1000.00, properties={}, timestamp=2021-06-08T08:01:03.778519800Z, status=STARTED)
Payment(id=ebe169d4-6f86-46a1-88b8-c811dc50f3c0, value=PLN 1000.00, properties={}, timestamp=2021-06-08T08:03:24.059611500Z, status=STARTED)
Payment(id=bf413607-7ab9-48a6-a24b-9375de58577e, value=PLN 1000.00, properties={}, timestamp=2021-06-08T08:05:41.349291400Z, status=STARTED)
Payment(id=5e61b67d-33b4-4621-ae66-f77f8ef6de9a, value=PLN 1000.00, properties={}, timestamp=2021-06-08T08:06:18.843864600Z, status=STARTED)
Payment(id=803c2fbd-6c82-442f-8dc3-960de9dd6639, value=PLN 1000.00, properties={}, timestamp=2021-06-08T08:06:43.881754700Z, status=STARTED)
Payment(id=1294dc35-c9a9-4983-8e2e-54f1252e4bbd, value=PLN 1000.00, properties={}, timestamp=2021-06-08T08:26:39.243760300Z, status=CANCELED)
Payment(id=a93c5588-1802-482f-99bd-58e1e0319769, value=PLN 1000.00, properties={}, timestamp=2021-06-08T08:47:41.587639300Z, status=STARTED)
Payment(id=d645e349-9382-47ef-9968-34272c7abd71, value=PLN 1000.00, properties={}, timestamp=2021-06-08T08:53:20.760323400Z, status=STARTED)
Payment(id=fe954999-a704-44c7-921b-09795776897b, value=PLN 1000.00, properties={}, timestamp=2021-06-08T08:54:33.200041Z, status=STARTED)
Payment(id=14875cd2-7412-4d12-957a-00227b895874, value=PLN 1000.00, properties={}, timestamp=2021-06-08T08:55:51.479421800Z, status=STARTED)
Payment(id=f23c1f7d-0538-4fde-b48f-c46604546af3, value=PLN 1000.00, properties={}, timestamp=2021-06-08T09:34:11.418096400Z, status=STARTED)
Payment(id=c4e9b16c-135e-4ae6-999e-4db8f3eb46ec, value=PLN 1000.00, properties={}, timestamp=2021-06-08T09:35:01.163366900Z, status=STARTED)
Payment(id=0b6abff7-5cee-412e-9630-6861241c31a1, value=PLN 1000.00, properties={}, timestamp=2021-06-08T09:41:27.398252500Z, status=STARTED)
Payment(id=33e153b5-e73b-402a-8d56-16bba769cdc2, value=PLN 1000.00, properties={}, timestamp=2021-06-08T09:41:53.159225800Z, status=STARTED)
Payment(id=b4e36d49-afdf-47e8-9e0e-549c3c7e42e2, value=PLN 1000.00, properties={}, timestamp=2021-06-08T09:42:14.917582900Z, status=STARTED)
Payment(id=2fa80fe6-8085-4f0d-8bb1-eaad63864581, value=PLN 1000.00, properties={}, timestamp=2021-06-08T09:43:11.222399800Z, status=STARTED)
Payment(id=33aa81ff-ac58-4552-9103-6772378587a0, value=PLN 1000.00, properties={}, timestamp=2021-06-08T09:43:25.284003800Z, status=STARTED)
Payment(id=4a4fb34e-cb6b-4097-a7b5-1b55d758b469, value=PLN 1000.00, properties={}, timestamp=2021-06-08T09:43:43.766014800Z, status=STARTED)
Payment(id=53d37727-9850-44e4-b283-969a48db9c2a, value=PLN 1000.00, properties={}, timestamp=2021-06-08T09:48:18.456214300Z, status=STARTED)
Payment(id=48f3dc5d-a7f3-44c3-a60d-9f226a678dba, value=PLN 1000.00, properties={}, timestamp=2021-06-08T09:50:10.609195800Z, status=STARTED)
Payment(id=e9b5be9f-bbc8-4851-bd95-b3596685c33d, value=PLN 1000.00, properties={}, timestamp=2021-06-08T09:50:59.295636800Z, status=STARTED)
Payment(id=512dd68f-0e63-4c51-9cca-307fc4526db3, value=PLN 1000.00, properties={}, timestamp=2021-06-08T09:51:58.285615500Z, status=STARTED)
